Word Pair: (fish, الوقت)
Model: natural_cbow.model, Similarity: 0.09476719051599503
Model: artificial_sg.model, Similarity: 0.21299195289611816
Model: natural_sg.model, Similarity: 0.22987772524356842

Word Pair: (بنشوف, محتاجة)
Model: artificial_cbow.model, Similarity: -0.10701282322406769
Model: natural_cbow.model, Similarity: 0.037958722561597824
Model: artificial_sg.model, Similarity: 0.10789120942354202
Model: natural_sg.model, Similarity: 0.2398136854171753

Word Pair: (مشهور, plans)
Model: artificial_cbow.model, Similarity: -0.06700971722602844
Model: natural_cbow.model, Similarity: -0.022985205054283142
Model: artificial_sg.model, Similarity: 0.07464439421892166
Model: natural_sg.model, Similarity: 0.18910256028175354

Word Pair: (طبعاً, done)
Model: artificial_cbow.model, Similarity: 0.053152550011873245
Model: natural_cbow.model, Similarity: 0.3053201735019684
Model: artificial_sg.model, Similarity: 0.3112550377845764
Model: natural_sg.model, Similarity: 0.26669222116470337

Word Pair: (access, الحاجة)
Model: artificial_cbow.model, Similarity: 0.00767425075173378
Model: natural_cbow.model, Similarity: -0.10419943928718567
Model: artificial_sg.model, Similarity: 0.07135660201311111
Model: natural_sg.model, Similarity: 0.03191453963518143

Word Pair: (القهوة, personal)
Model: artificial_cbow.model, Similarity: 0.09974289685487747
Model: natural_cbow.model, Similarity: -0.12495541572570801
Model: artificial_sg.model, Similarity: 0.12413576245307922
Model: natural_sg.model, Similarity: 0.04051575809717178

Word Pair: (two, يتكلم)
Model: artificial_cbow.model, Similarity: -0.030973458662629128
Model: natural_cbow.model, Similarity: -0.10316275805234909
Model: artificial_sg.model, Similarity: 0.13759547472000122
Model: natural_sg.model, Similarity: 0.17291291058063507

Word Pair: (عالمية, ببقى)
Model: artificial_cbow.model, Similarity: 0.07219551503658295
Model: natural_cbow.model, Similarity: -0.05459349602460861
Model: artificial_sg.model, Similarity: 0.2438713014125824
Model: natural_sg.model, Similarity: 0.12769581377506256

Word Pair: (job, enough)
Model: artificial_cbow.model, Similarity: -0.12649096548557281
Model: natural_cbow.model, Similarity: 0.010413454845547676
Model: artificial_sg.model, Similarity: 0.1507713496685028
Model: natural_sg.model, Similarity: 0.24676647782325745

Word Pair: (المدرسة, daily)
Model: artificial_cbow.model, Similarity: 0.07294869422912598
Model: natural_cbow.model, Similarity: 0.0483819916844368
Model: artificial_sg.model, Similarity: 0.14239588379859924
Model: natural_sg.model, Similarity: 0.2581798732280731

Word Pair: (sea, قاعدين)
Model: artificial_cbow.model, Similarity: 0.0819568932056427
Model: natural_cbow.model, Similarity: 0.22527292370796204
Model: artificial_sg.model, Similarity: 0.1655937284231186
Model: natural_sg.model, Similarity: 0.2903634011745453

Word Pair: (مناسبة, قصته)
Model: artificial_cbow.model, Similarity: 0.3849295675754547
Model: natural_cbow.model, Similarity: -0.0710107833147049
Model: artificial_sg.model, Similarity: 0.15498654544353485
Model: natural_sg.model, Similarity: 0.07424319535493851

Word Pair: (experiences, أعيش)
Model: artificial_cbow.model, Similarity: 0.1286267787218094
Model: natural_cbow.model, Similarity: 0.08257094025611877
Model: artificial_sg.model, Similarity: 0.30721452832221985
Model: natural_sg.model, Similarity: 0.2753819525241852

Word Pair: (تقرير, بعد)
Model: artificial_cbow.model, Similarity: -0.06535935401916504
Model: natural_cbow.model, Similarity: -0.13577966392040253
Model: artificial_sg.model, Similarity: 0.0986718013882637
Model: natural_sg.model, Similarity: 0.18594464659690857

Word Pair: (موقف, test)
Model: artificial_cbow.model, Similarity: -0.04100201278924942
Model: natural_cbow.model, Similarity: -0.021873243153095245
Model: artificial_sg.model, Similarity: 0.1591985523700714
Model: natural_sg.model, Similarity: 0.18953241407871246

Word Pair: (ساكن, شمال)
Model: artificial_cbow.model, Similarity: 0.31570667028427124
Model: natural_cbow.model, Similarity: -0.16098198294639587
Model: artificial_sg.model, Similarity: 0.5360038876533508
Model: natural_sg.model, Similarity: 0.09616538882255554

Word Pair: (تماما, قالولي)
Model: artificial_cbow.model, Similarity: -0.024330027401447296
Model: natural_cbow.model, Similarity: 0.17347484827041626
Model: artificial_sg.model, Similarity: 0.09548275172710419
Model: natural_sg.model, Similarity: 0.1826459765434265

Word Pair: (وقتها, days)
Model: artificial_cbow.model, Similarity: 0.048235658556222916
Model: natural_cbow.model, Similarity: 0.14771069586277008
Model: artificial_sg.model, Similarity: 0.18787537515163422
Model: natural_sg.model, Similarity: 0.17353834211826324

Word Pair: (لإنه, rain)
Model: artificial_cbow.model, Similarity: -0.17546938359737396
Model: natural_cbow.model, Similarity: 0.09347789734601974
Model: artificial_sg.model, Similarity: 0.12684863805770874
Model: natural_sg.model, Similarity: 0.25519153475761414

Word Pair: (المدينة, wow)
Model: artificial_cbow.model, Similarity: 0.05404030904173851
Model: natural_cbow.model, Similarity: 0.11221623420715332
Model: artificial_sg.model, Similarity: 0.22085829079151154
Model: natural_sg.model, Similarity: 0.24645838141441345

Word Pair: (بيبدأ, واحنا)
Model: artificial_cbow.model, Similarity: 0.06221696361899376
Model: natural_cbow.model, Similarity: 0.19738149642944336
Model: artificial_sg.model, Similarity: 0.10367877781391144
Model: natural_sg.model, Similarity: 0.17984025180339813

Word Pair: (بالنسبة, وبالتالي)
Model: artificial_cbow.model, Similarity: 0.07127338647842407
Model: natural_cbow.model, Similarity: 0.07500997185707092
Model: artificial_sg.model, Similarity: 0.18341945111751556
Model: natural_sg.model, Similarity: 0.1782863885164261

Word Pair: (المفروض, دخلت)
Model: artificial_cbow.model, Similarity: -0.010388730093836784
Model: natural_cbow.model, Similarity: 0.13436782360076904
Model: artificial_sg.model, Similarity: 0.06574729084968567
Model: natural_sg.model, Similarity: 0.15081411600112915

Word Pair: (بدأوا, التواصل)
Model: artificial_cbow.model, Similarity: 0.02183067984879017
Model: natural_cbow.model, Similarity: 0.528243362903595
Model: artificial_sg.model, Similarity: 0.17968761920928955
Model: natural_sg.model, Similarity: 0.4922928810119629

Word Pair: (last, space)
Model: artificial_cbow.model, Similarity: 0.1173991784453392
Model: natural_cbow.model, Similarity: 0.2713542878627777
Model: artificial_sg.model, Similarity: 0.1343412697315216
Model: natural_sg.model, Similarity: 0.3041066527366638

Word Pair: (what, تاريخ)
Model: artificial_cbow.model, Similarity: 0.1581348031759262
Model: natural_cbow.model, Similarity: 0.14380943775177002
Model: artificial_sg.model, Similarity: 0.14161427319049835
Model: natural_sg.model, Similarity: 0.12089692056179047

Word Pair: (interesting, خطة)
Model: artificial_cbow.model, Similarity: -0.05600488930940628
Model: natural_cbow.model, Similarity: 0.15793479979038239
Model: artificial_sg.model, Similarity: 0.19276836514472961
Model: natural_sg.model, Similarity: 0.2610209882259369

Word Pair: (طبعا, دماغي)
Model: artificial_cbow.model, Similarity: -0.07535526156425476
Model: natural_cbow.model, Similarity: 0.2742033004760742
Model: artificial_sg.model, Similarity: 0.04511618986725807
Model: natural_sg.model, Similarity: 0.2908438742160797

Word Pair: (كذا, business)
Model: artificial_cbow.model, Similarity: -0.017000608146190643
Model: natural_cbow.model, Similarity: -0.053351882845163345
Model: artificial_sg.model, Similarity: 0.06326429545879364
Model: natural_sg.model, Similarity: 0.07620124518871307

Word Pair: (الكلية, okay)
Model: artificial_cbow.model, Similarity: 0.030192069709300995
Model: natural_cbow.model, Similarity: 0.13649573922157288
Model: artificial_sg.model, Similarity: 0.12810418009757996
Model: natural_sg.model, Similarity: 0.19712074100971222

Word Pair: (درجة, حياتك)
Model: artificial_cbow.model, Similarity: 0.26122424006462097
Model: natural_cbow.model, Similarity: 0.055675607174634933
Model: artificial_sg.model, Similarity: 0.30975139141082764
Model: natural_sg.model, Similarity: 0.18420612812042236

Word Pair: (وبالتالي, شكلها)
Model: artificial_cbow.model, Similarity: 0.05825590714812279
Model: natural_cbow.model, Similarity: -0.12410889565944672
Model: artificial_sg.model, Similarity: 0.09644445776939392
Model: natural_sg.model, Similarity: 0.0813804343342781

Word Pair: (نفسك, بالنسبالي)
Model: artificial_cbow.model, Similarity: -0.011697188951075077
Model: natural_cbow.model, Similarity: -0.07712794095277786
Model: artificial_sg.model, Similarity: 0.09651336818933487
Model: natural_sg.model, Similarity: 0.14106644690036774

Word Pair: (أعملها, very)
Model: artificial_cbow.model, Similarity: 0.025436431169509888
Model: natural_cbow.model, Similarity: 0.101639024913311
Model: artificial_sg.model, Similarity: 0.049625709652900696
Model: natural_sg.model, Similarity: 0.2616303563117981

Word Pair: (عمرك, محتاجة)
Model: artificial_cbow.model, Similarity: 0.09309840947389603
Model: natural_cbow.model, Similarity: 0.03900376334786415
Model: artificial_sg.model, Similarity: 0.13078676164150238
Model: natural_sg.model, Similarity: 0.15744727849960327

Word Pair: (activity, مهما)
Model: artificial_cbow.model, Similarity: -0.12536613643169403
Model: natural_cbow.model, Similarity: 0.05742068588733673
Model: artificial_sg.model, Similarity: 0.11897072196006775
Model: natural_sg.model, Similarity: 0.2549523115158081

Word Pair: (الطبيعة, معقدة)
Model: artificial_cbow.model, Similarity: 0.18298251926898956
Model: natural_cbow.model, Similarity: 0.5256386995315552
Model: artificial_sg.model, Similarity: 0.31747496128082275
Model: natural_sg.model, Similarity: 0.4442947208881378

Word Pair: (papers, child)
Model: artificial_cbow.model, Similarity: -0.10358821600675583
Model: natural_cbow.model, Similarity: 0.1066831722855568
Model: artificial_sg.model, Similarity: 0.013973813503980637
Model: natural_sg.model, Similarity: 0.4058041274547577

Word Pair: (لنا, reason)
Model: artificial_cbow.model, Similarity: 0.07372074574232101
Model: natural_cbow.model, Similarity: -0.0479377843439579
Model: artificial_sg.model, Similarity: 0.16222204267978668
Model: natural_sg.model, Similarity: 0.10203946381807327

Word Pair: (هقدر, فلما)
Model: artificial_cbow.model, Similarity: -0.2790534198284149
Model: natural_cbow.model, Similarity: 0.0035323710180819035
Model: artificial_sg.model, Similarity: 0.036009531468153
Model: natural_sg.model, Similarity: 0.33806028962135315

Word Pair: (غالبًا, by)
Model: artificial_cbow.model, Similarity: -0.24374692142009735
Model: natural_cbow.model, Similarity: 0.17941491305828094
Model: artificial_sg.model, Similarity: -0.01958484575152397
Model: natural_sg.model, Similarity: 0.2802985608577728

Word Pair: (الإنجليزي, مهم)
Model: artificial_cbow.model, Similarity: 0.08512521535158157
Model: natural_cbow.model, Similarity: 0.13935548067092896
Model: artificial_sg.model, Similarity: 0.21641287207603455
Model: natural_sg.model, Similarity: 0.27781370282173157

Word Pair: (بدأوا, تكن)
Model: artificial_cbow.model, Similarity: 0.0215431060642004
Model: natural_cbow.model, Similarity: 0.5139604210853577
Model: artificial_sg.model, Similarity: 0.19262097775936127
Model: natural_sg.model, Similarity: 0.42139455676078796

Word Pair: (اجازة, قصته)
Model: artificial_cbow.model, Similarity: -0.02532212808728218
Model: natural_cbow.model, Similarity: 0.0708048939704895
Model: artificial_sg.model, Similarity: 0.20168155431747437
Model: natural_sg.model, Similarity: 0.13746285438537598

Word Pair: (french, power)
Model: artificial_cbow.model, Similarity: 0.11089485138654709
Model: natural_cbow.model, Similarity: -0.060043592005968094
Model: artificial_sg.model, Similarity: 0.18337394297122955
Model: natural_sg.model, Similarity: 0.11948637664318085

Word Pair: (id, دايما)
Model: artificial_cbow.model, Similarity: 0.16590213775634766
Model: natural_cbow.model, Similarity: 0.011786138638854027
Model: artificial_sg.model, Similarity: 0.029698900878429413
Model: natural_sg.model, Similarity: 0.2330912947654724

Word Pair: (الإمارات, عجبني)
Model: artificial_cbow.model, Similarity: 0.0031456616707146168
Model: natural_cbow.model, Similarity: 0.24648912250995636
Model: artificial_sg.model, Similarity: 0.05639662966132164
Model: natural_sg.model, Similarity: 0.39316505193710327

Word Pair: (عارفة, مهم)
Model: artificial_cbow.model, Similarity: 0.03423137962818146
Model: natural_cbow.model, Similarity: 0.1793869435787201
Model: artificial_sg.model, Similarity: 0.0985896959900856
Model: natural_sg.model, Similarity: 0.19472776353359222

Word Pair: (طبعاً, ال)
Model: artificial_cbow.model, Similarity: 0.06130170077085495
Model: natural_cbow.model, Similarity: -0.4472538232803345
Model: artificial_sg.model, Similarity: 0.12435445934534073
Model: natural_sg.model, Similarity: -0.02479257620871067

Word Pair: (بقت, أحب)
Model: artificial_cbow.model, Similarity: 0.04141382873058319
Model: natural_cbow.model, Similarity: -0.20648851990699768
Model: artificial_sg.model, Similarity: 0.18247708678245544
Model: natural_sg.model, Similarity: 0.09305617958307266

Word Pair: (فى, لل)
Model: artificial_cbow.model, Similarity: 0.1660355031490326
Model: natural_cbow.model, Similarity: 0.12771932780742645
Model: artificial_sg.model, Similarity: 0.13741743564605713
Model: natural_sg.model, Similarity: 0.21468937397003174

Word Pair: (شكله, تحفة)
Model: artificial_cbow.model, Similarity: 0.33455750346183777
Model: natural_cbow.model, Similarity: 0.08883561939001083
Model: artificial_sg.model, Similarity: 0.4752475321292877
Model: natural_sg.model, Similarity: 0.23842638731002808

Word Pair: (report, weekend)
Model: artificial_cbow.model, Similarity: 0.16458432376384735
Model: natural_cbow.model, Similarity: 0.28743863105773926
Model: artificial_sg.model, Similarity: 0.07641301304101944
Model: natural_sg.model, Similarity: 0.26961731910705566

Word Pair: (جامدة, هناك)
Model: artificial_cbow.model, Similarity: -0.0010911994613707066
Model: natural_cbow.model, Similarity: 0.03953535854816437
Model: artificial_sg.model, Similarity: 0.1449778825044632
Model: natural_sg.model, Similarity: 0.17126189172267914

Word Pair: (me, قاعدين)
Model: artificial_cbow.model, Similarity: -0.015012717805802822
Model: natural_cbow.model, Similarity: 0.004246820695698261
Model: artificial_sg.model, Similarity: 0.11241820454597473
Model: natural_sg.model, Similarity: 0.16671763360500336

Word Pair: (نكمل, كما)
Model: artificial_cbow.model, Similarity: 0.06804344058036804
Model: natural_cbow.model, Similarity: 0.16964173316955566
Model: artificial_sg.model, Similarity: 0.10505397617816925
Model: natural_sg.model, Similarity: 0.29091209173202515

Word Pair: (السنة, أرجع)
Model: artificial_cbow.model, Similarity: -0.025106094777584076
Model: natural_cbow.model, Similarity: 0.11173264682292938
Model: artificial_sg.model, Similarity: 0.10327540338039398
Model: natural_sg.model, Similarity: 0.19836002588272095

Word Pair: (بتشتغل, أكلم)
Model: artificial_cbow.model, Similarity: -0.022573990747332573
Model: natural_cbow.model, Similarity: -0.05230062082409859
Model: artificial_sg.model, Similarity: 0.10903087258338928
Model: natural_sg.model, Similarity: 0.168979212641716

Word Pair: (تأثير, يعدي)
Model: artificial_cbow.model, Similarity: -0.040314167737960815
Model: natural_cbow.model, Similarity: -0.024310624226927757
Model: artificial_sg.model, Similarity: 0.2008342295885086
Model: natural_sg.model, Similarity: 0.22408881783485413

Word Pair: (think, نجحت)
Model: artificial_cbow.model, Similarity: 0.028967004269361496
Model: natural_cbow.model, Similarity: 0.19998577237129211
Model: artificial_sg.model, Similarity: 0.12794779241085052
Model: natural_sg.model, Similarity: 0.21735212206840515

Word Pair: (white, grades)
Model: artificial_cbow.model, Similarity: 0.1901778280735016
Model: natural_cbow.model, Similarity: -0.05438181012868881
Model: artificial_sg.model, Similarity: 0.3020070791244507
Model: natural_sg.model, Similarity: 0.19714337587356567

Word Pair: (لمدة, بيقول)
Model: artificial_cbow.model, Similarity: 0.10028742253780365
Model: natural_cbow.model, Similarity: 0.005204291548579931
Model: artificial_sg.model, Similarity: 0.07365639507770538
Model: natural_sg.model, Similarity: 0.018843401223421097

Word Pair: (قبل, not)
Model: artificial_cbow.model, Similarity: -0.21738363802433014
Model: natural_cbow.model, Similarity: -0.12509222328662872
Model: artificial_sg.model, Similarity: 0.002396499505266547
Model: natural_sg.model, Similarity: 0.07356129586696625

Word Pair: (teacher, طلع)
Model: artificial_cbow.model, Similarity: 0.1097487360239029
Model: natural_cbow.model, Similarity: -0.09233797341585159
Model: artificial_sg.model, Similarity: 0.15037888288497925
Model: natural_sg.model, Similarity: 0.19052626192569733

Word Pair: (كما, أكتر)
Model: artificial_cbow.model, Similarity: 0.2306125909090042
Model: natural_cbow.model, Similarity: -0.23638586699962616
Model: artificial_sg.model, Similarity: 0.057292670011520386
Model: natural_sg.model, Similarity: 0.08854081481695175

Word Pair: (هرجع, قريب)
Model: artificial_cbow.model, Similarity: -0.040294282138347626
Model: natural_cbow.model, Similarity: 0.16028009355068207
Model: artificial_sg.model, Similarity: 0.2978993058204651
Model: natural_sg.model, Similarity: 0.24404627084732056

Word Pair: (عملته, بحبه)
Model: artificial_cbow.model, Similarity: 0.7084928750991821
Model: natural_cbow.model, Similarity: -0.16252756118774414
Model: artificial_sg.model, Similarity: 0.43425989151000977
Model: natural_sg.model, Similarity: 0.050247445702552795

Word Pair: (credit, نستخدم)
Model: artificial_cbow.model, Similarity: -0.10724460333585739
Model: natural_cbow.model, Similarity: 0.505681574344635
Model: artificial_sg.model, Similarity: 0.1181819811463356
Model: natural_sg.model, Similarity: 0.3765670657157898

Word Pair: (نشوف, always)
Model: artificial_cbow.model, Similarity: -0.09630504250526428
Model: natural_cbow.model, Similarity: 0.18182171881198883
Model: artificial_sg.model, Similarity: 0.0632723793387413
Model: natural_sg.model, Similarity: 0.13532419502735138

Word Pair: (وصلت, view)
Model: artificial_cbow.model, Similarity: -0.023648442700505257
Model: natural_cbow.model, Similarity: 0.015462908893823624
Model: artificial_sg.model, Similarity: 0.04431265592575073
Model: natural_sg.model, Similarity: 0.1405181735754013

Word Pair: (even, free)
Model: artificial_cbow.model, Similarity: 0.12223854660987854
Model: natural_cbow.model, Similarity: -0.0751461386680603
Model: artificial_sg.model, Similarity: 0.22962668538093567
Model: natural_sg.model, Similarity: 0.11848308891057968

Word Pair: (يبقى, العربية)
Model: artificial_cbow.model, Similarity: 0.019375519827008247
Model: natural_cbow.model, Similarity: -0.06850474327802658
Model: artificial_sg.model, Similarity: -0.0250620748847723
Model: natural_sg.model, Similarity: 0.0317157544195652

Word Pair: (نمت, و)
Model: artificial_cbow.model, Similarity: -0.14671845734119415
Model: natural_cbow.model, Similarity: -0.08299080282449722
Model: artificial_sg.model, Similarity: 0.04257877916097641
Model: natural_sg.model, Similarity: 0.3801485002040863

Word Pair: (حبيت, لغة)
Model: artificial_cbow.model, Similarity: -0.06539080291986465
Model: natural_cbow.model, Similarity: 0.048678308725357056
Model: artificial_sg.model, Similarity: 0.07136859744787216
Model: natural_sg.model, Similarity: 0.20283228158950806

Word Pair: (وهي, five)
Model: artificial_cbow.model, Similarity: -0.1851663887500763
Model: natural_cbow.model, Similarity: 0.1785403937101364
Model: artificial_sg.model, Similarity: 0.04916730523109436
Model: natural_sg.model, Similarity: -0.02467384934425354

Word Pair: (يتكلم, النفسية)
Model: artificial_cbow.model, Similarity: 0.10335001349449158
Model: natural_cbow.model, Similarity: 0.1491026133298874
Model: artificial_sg.model, Similarity: 0.35296523571014404
Model: natural_sg.model, Similarity: 0.26751893758773804

Word Pair: (جامد, reason)
Model: artificial_cbow.model, Similarity: -0.06275215744972229
Model: natural_cbow.model, Similarity: -0.04082363098859787
Model: artificial_sg.model, Similarity: 0.14665532112121582
Model: natural_sg.model, Similarity: 0.19894105195999146

Word Pair: (علينا, would)
Model: artificial_cbow.model, Similarity: -0.0668751671910286
Model: natural_cbow.model, Similarity: -0.002986343577504158
Model: artificial_sg.model, Similarity: -0.027700897306203842
Model: natural_sg.model, Similarity: 0.24175068736076355

Word Pair: (المكتب, بتاع)
Model: artificial_cbow.model, Similarity: -0.03459959104657173
Model: natural_cbow.model, Similarity: 0.13406462967395782
Model: artificial_sg.model, Similarity: 0.1460336595773697
Model: natural_sg.model, Similarity: 0.2352350354194641

Word Pair: (فعلا, هسافر)
Model: artificial_cbow.model, Similarity: 0.10311857610940933
Model: natural_cbow.model, Similarity: 0.2572178244590759
Model: artificial_sg.model, Similarity: 0.14907237887382507
Model: natural_sg.model, Similarity: 0.17663617432117462

Word Pair: (enjoy, business)
Model: artificial_cbow.model, Similarity: -0.11489524692296982
Model: natural_cbow.model, Similarity: 0.05605089291930199
Model: artificial_sg.model, Similarity: 0.03592752292752266
Model: natural_sg.model, Similarity: 0.3422243297100067

Word Pair: (creativity, believe)
Model: artificial_cbow.model, Similarity: -0.013744678348302841
Model: natural_cbow.model, Similarity: -0.021240239962935448
Model: artificial_sg.model, Similarity: 0.13592565059661865
Model: natural_sg.model, Similarity: 0.2848421335220337

Word Pair: (صغير, بيحاول)
Model: artificial_cbow.model, Similarity: 0.2409767359495163
Model: natural_cbow.model, Similarity: -0.16657857596874237
Model: artificial_sg.model, Similarity: 0.28316402435302734
Model: natural_sg.model, Similarity: 0.2078125774860382

Word Pair: (حسب, فممكن)
Model: artificial_cbow.model, Similarity: 0.08308517187833786
Model: natural_cbow.model, Similarity: -0.045391179621219635
Model: artificial_sg.model, Similarity: 0.14139631390571594
Model: natural_sg.model, Similarity: 0.06334597617387772

Word Pair: (برضو, online)
Model: artificial_cbow.model, Similarity: 0.15501049160957336
Model: natural_cbow.model, Similarity: 0.1807204633951187
Model: artificial_sg.model, Similarity: 0.20754647254943848
Model: natural_sg.model, Similarity: 0.20507103204727173

Word Pair: (فوق, أجيب)
Model: artificial_cbow.model, Similarity: 0.04633856937289238
Model: natural_cbow.model, Similarity: 0.22985756397247314
Model: artificial_sg.model, Similarity: 0.07785217463970184
Model: natural_sg.model, Similarity: 0.3231481611728668

Word Pair: (فكرة, الفلوس)
Model: artificial_cbow.model, Similarity: 0.016179636120796204
Model: natural_cbow.model, Similarity: -0.03367670997977257
Model: artificial_sg.model, Similarity: 0.1309254914522171
Model: natural_sg.model, Similarity: 0.06785356998443604

Word Pair: (عشر, تاريخ)
Model: artificial_cbow.model, Similarity: 0.040246132761240005
Model: natural_cbow.model, Similarity: -0.057322558015584946
Model: artificial_sg.model, Similarity: 0.21845827996730804
Model: natural_sg.model, Similarity: -0.02568836696445942

Word Pair: (أعملها, احب)
Model: artificial_cbow.model, Similarity: -0.02745567448437214
Model: natural_cbow.model, Similarity: 0.44704174995422363
Model: artificial_sg.model, Similarity: 0.2515021860599518
Model: natural_sg.model, Similarity: 0.38680601119995117

